DrawScene total: 213ms | BG: 0ms | Map: 199ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 225ms | BG: 0ms | Map: 211ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 214ms | BG: 0ms | Map: 200ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 221ms | BG: 0ms | Map: 202ms | Light: 18ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 330ms | BG: 0ms | Map: 305ms | Light: 24ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 231ms | BG: 0ms | Map: 216ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 243ms | BG: 0ms | Map: 227ms | Light: 15ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 212ms | BG: 0ms | Map: 198ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 212ms | BG: 0ms | Map: 198ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 212ms | BG: 0ms | Map: 198ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 226ms | BG: 0ms | Map: 212ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 223ms | BG: 0ms | Map: 209ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 227ms | BG: 0ms | Map: 213ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 225ms | BG: 0ms | Map: 210ms | Light: 15ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 211ms | BG: 0ms | Map: 196ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 234ms | BG: 0ms | Map: 219ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 237ms | BG: 0ms | Map: 223ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 211ms | BG: 0ms | Map: 197ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 215ms | BG: 0ms | Map: 200ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 210ms | BG: 0ms | Map: 196ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 221ms | BG: 0ms | Map: 207ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 222ms | BG: 0ms | Map: 208ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 218ms | BG: 0ms | Map: 204ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 223ms | BG: 0ms | Map: 208ms | Light: 15ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 230ms | BG: 0ms | Map: 215ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 230ms | BG: 0ms | Map: 215ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 236ms | BG: 0ms | Map: 220ms | Light: 15ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 216ms | BG: 0ms | Map: 202ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 213ms | BG: 0ms | Map: 198ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 215ms | BG: 0ms | Map: 201ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 211ms | BG: 0ms | Map: 197ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 213ms | BG: 0ms | Map: 199ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 215ms | BG: 0ms | Map: 201ms | Light: 13ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 218ms | BG: 0ms | Map: 204ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 216ms | BG: 0ms | Map: 202ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 216ms | BG: 0ms | Map: 202ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 216ms | BG: 0ms | Map: 202ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 219ms | BG: 0ms | Map: 205ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 417ms | BG: 0ms | Map: 403ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 276ms | BG: 0ms | Map: 262ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 346ms | BG: 0ms | Map: 332ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 319ms | BG: 0ms | Map: 304ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 335ms | BG: 0ms | Map: 321ms | Light: 14ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 51ms | BG: 0ms | Map: 46ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 52ms | BG: 0ms | Map: 47ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 60ms | BG: 0ms | Map: 55ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 54ms | BG: 0ms | Map: 50ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 51ms | BG: 0ms | Map: 47ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 49ms | BG: 0ms | Map: 45ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 72ms | BG: 0ms | Map: 68ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 55ms | BG: 0ms | Map: 50ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 65ms | BG: 0ms | Map: 61ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 69ms | BG: 0ms | Map: 64ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 62ms | BG: 0ms | Map: 56ms | Light: 5ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 54ms | BG: 0ms | Map: 49ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 59ms | BG: 0ms | Map: 55ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 55ms | BG: 0ms | Map: 51ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 49ms | BG: 0ms | Map: 46ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 51ms | BG: 0ms | Map: 47ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 50ms | BG: 0ms | Map: 45ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 72ms | BG: 0ms | Map: 68ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 51ms | BG: 0ms | Map: 47ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 51ms | BG: 0ms | Map: 47ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 54ms | BG: 0ms | Map: 50ms | Light: 4ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 51ms | BG: 0ms | Map: 47ms | Light: 3ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 33ms | BG: 0ms | Map: 30ms | Light: 2ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 1213ms | BG: 0ms | Map: 1211ms | Light: 2ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 16ms | BG: 0ms | Map: 15ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 39ms | BG: 0ms | Map: 38ms | Light: 1ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 20ms | BG: 0ms | Map: 20ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 18ms | BG: 0ms | Map: 18ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 11ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 11ms | BG: 0ms | Map: 11ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 9ms | BG: 0ms | Map: 8ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
DrawScene total: 9ms | BG: 0ms | Map: 9ms | Light: 0ms | Drag: 0ms | HighFl: 0ms
